01NL001500	RAGHAW SHARAN PANDEY	5.76778510292e-07
01UT016003	GOPAL DIKSHIT	5.76673296399e-07
01AM007500	BHASKAR BARUA	3.97505921152e-07
01MH030800	JAYANT KUMAR BANTHIA	3.76239459093e-07
01HY005600	KIRAN AGGARWAL	2.09190650663e-07
01HP007000	SUTANU BEHURIA	1.95606716587e-07
01MP027602	RAGHUVENDRA SINGH SIROHI	8.8161551774e-08
01MH028700	BHAWANI SINGH MEENA	8.81400797463e-08
01MH018900	JAGDISH MAHESH JOSHI	6.41917890137e-08
01CG042000	SHAILESH KUMAR PATHAK	4.24018476383e-08
01UT010400	OM PARKASH KELKAR	3.30609504598e-08
01GJ018600	BALWANT SINGH	1.08461665902e-08
01UP039100	Shri Pradeep Kumar Misra	7.12236760372e-09
01HP005500	SURENDAR KUMAR SOOD	6.16515221614e-10
01PB008202	Ms. RAVNEET KAUR	5.69603615588e-10
02PB004700	Shri S L KAPUR	5.52500993112e-10
01BH026600	AJAY KUMAR	5.37692702199e-10
01AM012401	Shri Peter James Bazeley	5.27678515229e-10
01UP022600	ARVIND VARMA	4.96358739957e-10
01AM011600	Shri J TAYENG	4.92938325652e-10
01HY010800	Shri Dharam Vir	4.80026180088e-10
01OR015900	Shri Ajit Kumar Tripathy	4.43708698044e-10
01UP026000	RAVINDRA GUPTA	4.42535549034e-10
01BH025500	NAVIN KUMAR	4.37582263801e-10
01UP029000	Shri SP ARYA	4.26653929964e-10
01HP007200	HARINDER HIRA	4.15498093019e-10
01PB008200	Shri CL BAINS	4.08733853643e-10
01UP033500	Dr. Chandra Pal	4.08687767216e-10
01AM014500	Shri Winston Mark Simon Pariat	4.02785550642e-10
01UP042500	Shri Prem Narain	3.9432274351e-10
01AM012500	Shri Sheo Kishor Tewari	3.83575720526e-10
01HP009100	PRITAM CHAND KAPOOR	3.81568723161e-10
01HP008400	PREM KUMAR	3.81137500087e-10
01RJ008500	Shri YATINDRA SINGH	3.80727340149e-10
01HY007400	Shri Sunil Ahuja	3.79162913172e-10
01HY011200	Shri Vivek Mehrotra	3.78885142269e-10
01HP007800	SUDRIPTA ROY	3.77587123803e-10
01HP004400	Shri ARVIND KAUL	3.77472127876e-10
01OR012800	Shri RM SENAPATI	3.7727524735e-10
01HY013000	Shri Pradeep Kumar Chaudhery	3.73122866118e-10
01UT013500	Shri Rakesh Mohan	3.71395820322e-10
01MP027601	Ms. Sushama Nath	3.65375246494e-10
01HP006800	Shri Jai Prakash Negi	3.65095170916e-10
01HY011700	Shri Ravinder Nath Prasher	3.63945392221e-10
01AP016100	Shri ARJUNA RAO CHEELI	3.60365815278e-10
01CG030800	Shri Serjius Minj	3.56318712325e-10
01OR017300	Shri Arun Kumar Samantaray	3.55312770643e-10
01OR017400	Shri Satya Prakash Nanda	3.54382448804e-10
02HP003900	Shri HARSH GUPTA	3.51887113282e-10
01HP006700	Shri Avay Shukla	3.48100761744e-10
01UL031200	MADHUKAR GUPTA	3.4755282812e-10
01PB012800	Shri Piara Ram	3.46042762493e-10
01AM013500	SAMIRENDRA CHATTERJEE	3.45561881803e-10
01MP018300	Shri AK SRIVASTAVA	3.45188747288e-10
01HY009700	Ms. Deepa Jain Singh	3.45059953862e-10
01PB004800	Shri TEJENDRA KHANNA	3.44024585334e-10
01HY014900	Shri Praveen Kumar Gupta	3.39673213535e-10
02MP017900	Shri V K DHALL	3.39445532091e-10
01HY011400	Shri Kartar Singh Bhoria	3.38381790295e-10
01UP026500	Shri AP SINGH	3.38262382415e-10
01HP005400	Shri Surjit Singh Parmar	3.37555964352e-10
01JH025600	Ms. Neelam Nath	3.37461318653e-10
01CG029800	Shri Narayan Singh	3.36992883683e-10
02TN013300	Shri P SHANKAR	3.34946116391e-10
01GJ021000	RANJIT BANNERJI	3.34059211968e-10
01UT006300	Shri ASHOK PRADHAN	3.33761104817e-10
01UT009400	SATISH CHANDRA	3.33487040405e-10
01MP011800	Shri AK PANDYA	3.31731408015e-10
01HY011000	Shri Svayam Prakash Sharma	3.28889286529e-10
01PB009300	Shri RAJESH CHHABRA	3.2859789937e-10
01KN013600	Shri SSM SUNDARAM	3.28424785008e-10
01RJ010800	Shri AS MEHTA	3.28074768583e-10
01KN008900	Dr. A RAVINDRA	3.27593693848e-10
02AM014100	Dr. Surajit Mitra	3.27044199386e-10
02JH022100	Shri T Nanda Kumar	3.26619200697e-10
01AP023400	Shri Deepak Kumar Panwar	3.26059724014e-10
01UP035300	Shri Pritam Singh	3.256826787e-10
01JH025105	Shri Arvind Kumar Chugh	3.25206364216e-10
01HY013100	Shri Manik B Sonawane	3.21755192213e-10
01UT008600	Shri Virendra Singh	3.21755192213e-10
01PB012100	Shri J S KESAR	3.21755192213e-10
01HP007600	Shri Ashok Thakur	3.21119802495e-10
01HY013200	Shri Satish Chandra Choudhary	3.19728905773e-10
01MP022800	Shri Lalit Kumar Joshi	3.19112813691e-10
01UT010500	Shri Rajinder Singh Sethi	3.18410429234e-10
01HY009900	Ms. Promila Issar	3.17217224816e-10
02AM008800	Shri PRABIR SENGUPTA	3.17164196391e-10
01AP014300	Dr. P L S Reddy	3.16366200493e-10
02MP018100	Shri ARUN BHATNAGAR	3.16338419206e-10
01WB027500	Shri S K Nurul Haque	3.1575491514e-10
01HY012100	Shri Naresh Gulati	3.15404020222e-10
01AM015600	Shri Anup Kumar Thakur	3.14550059704e-10
01AM019500	Shri C. D. Kynjing	3.14203367733e-10
01MP019000	Shri BK SAHA	3.13301262728e-10
01PB013400	Shri Mukul Joshi	3.12879781658e-10
01HY004200	Shri MC GUPTA	3.12699459847e-10
01UT015900	ARCHNA ARORA	3.12524596849e-10
02MP031600	Shri R Ramanujam	3.12459867278e-10
02UP026600	Shri Rajeeva Ratna Shah	3.12390656306e-10
02KN017100	Dr. Sudhakar Rao	3.11547013865e-10
01AM014700	Shri S K Srivastava	3.10569759079e-10
01AM015200	Shri H Chinkenthang	3.08884984524e-10
01NL002700	Dr. Arun Kumar Jain	3.07268802094e-10
01UT013100	Shri Rakesh Behari	3.05033424755e-10
01CG022300	Ms. Indira Mishra	3.04955949176e-10
02TN012500	Dr. S NARAYAN	3.04485911767e-10
01UP034000	Dr. Pradeep Kumar	3.04471019501e-10
02UT008300	Shri Navin B Chawla	3.04256106202e-10
01MP031500	Shri Swadeep Singh	3.03718639806e-10
01UP045500	Dr. Ravindra Singh	3.03412085833e-10
01JH032600	Dr. Arvind Kumar Pandey	3.03328610661e-10
01BH026500	Shri Anil Bhushan Prasad	3.02973910505e-10
01AM011500	Shri J P Rajkhowa	3.02690418047e-10
01OR014100	Dr. K J S CHATRATH	3.02685992896e-10
02AM014000	Shri Jayant M Mauskar	3.02578841279e-10
01JH029800	Shri Ashok Kumar Sarkar	3.02171305969e-10
01MP028200	Shri Dilip Mehra	3.01270675547e-10
01HY006200	Shri ASHOK PAHWA	3.00922705614e-10
01PB006400	Shri SWARN SINGH BOPARAI,K.C	3.00862098331e-10
01UP037200	Shri P. C. Chaturvedi	3.00675127219e-10
02OR014200	Shri DC GUPTA	3.0063734927e-10
01UP037000	Shri Harish Chandra	3.00389857243e-10
01HP008500	Shri Thubdan Gomphel Negi	3.00174571589e-10
01UP037900	Shri K Chandramouli	2.99333481779e-10
02HP004600	Shri SHAMSHER SINGH KANWAR	2.9904053168e-10
01UL037800	Shri Subbaroyan Krishnan	2.98586799099e-10
02MP021300	Shri N K NARAD	2.97898659125e-10
01MP027100	Ms. Ranjana Chowdhary	2.97567104048e-10
01UP027200	Shri G GANESH	2.97343092361e-10
01OR017200	Shri Tarun Kanti Mishra	2.96679344627e-10
01HP006500	Ms. Parminder Hira Mathur	2.96637998377e-10
01OR014000	Shri RK PANDA	2.9661510308e-10
01HY009400	Shri Krishan Chander Sharma	2.96564371285e-10
01AM013100	Shri Chandra Kanta Das	2.96014776836e-10
