entity1,entity2,weight,dates
Baldev Singh Jaito,Sarvjeet Kaur Manuke,1,10-2020
Aam Aadmi Party,Baldev Singh Jaito,1,10-2020
Baldev Singh Jaito,Kultar Singh Sandhwan,1,10-2020
Baldev Singh Jaito,Captain Amarinder Singh,1,10-2020
Baldev Singh Jaito,Meet Hayer,1,10-2020
Baldev Singh Jaito,Mullanpur,1,10-2020
Baldev Singh Jaito,Sadhu Singh Dharamsot,1,10-2020
Baldev Singh Jaito,Harpal Singh Cheema,1,10-2020
Amarinder,Baldev Singh Jaito,1,10-2020
Baljinder Kaur,Budhram,1,10-2020
Budhram,Cheema,1,10-2020
Budhram,CHANDIGARH,1,10-2020
Budhram,Manjit Singh Bilaspur,1,10-2020
Budhram,Siswan,1,10-2020
Budhram,Rupinder Kaur Ruby,1,10-2020
Budhram,Kulwant Singh Pandori,1,10-2020
AAP,Budhram,1,10-2020
Budhram,Harchand Singh Barsat,1,10-2020
Budhram,Punjab,1,10-2020
Budhram,Sarvjeet Kaur Manuke,1,10-2020
Aam Aadmi Party,Budhram,1,10-2020
Budhram,Kultar Singh Sandhwan,1,10-2020
Budhram,Captain Amarinder Singh,1,10-2020
Budhram,Meet Hayer,1,10-2020
Budhram,Mullanpur,1,10-2020
Budhram,Sadhu Singh Dharamsot,1,10-2020
Budhram,Harpal Singh Cheema,1,10-2020
Amarinder,Budhram,1,10-2020
Baljinder Kaur,Cheema,1,10-2020
Baljinder Kaur,CHANDIGARH,1,10-2020
Baljinder Kaur,Manjit Singh Bilaspur,1,10-2020
Baljinder Kaur,Siswan,1,10-2020
Baljinder Kaur,Rupinder Kaur Ruby,1,10-2020
Baljinder Kaur,Kulwant Singh Pandori,1,10-2020
Baljinder Kaur,Harchand Singh Barsat,1,10-2020
Baljinder Kaur,Punjab,1,10-2020
Baljinder Kaur,Sarvjeet Kaur Manuke,1,10-2020
Baljinder Kaur,Kultar Singh Sandhwan,1,10-2020
Baljinder Kaur,Captain Amarinder Singh,1,10-2020
Baljinder Kaur,Meet Hayer,1,10-2020
Baljinder Kaur,Mullanpur,1,10-2020
Baljinder Kaur,Sadhu Singh Dharamsot,1,10-2020
Baljinder Kaur,Harpal Singh Cheema,1,10-2020
Amarinder,Baljinder Kaur,1,10-2020
CHANDIGARH,Cheema,1,10-2020
Cheema,Manjit Singh Bilaspur,1,10-2020
Cheema,Siswan,1,10-2020
Cheema,Rupinder Kaur Ruby,1,10-2020
Cheema,Kulwant Singh Pandori,1,10-2020
AAP,Cheema,1,10-2020
Cheema,Harchand Singh Barsat,1,10-2020
Cheema,Punjab,2,"10-2020, 12-2020"
Cheema,Sarvjeet Kaur Manuke,1,10-2020
Aam Aadmi Party,Cheema,1,10-2020
Cheema,Kultar Singh Sandhwan,1,10-2020
Captain Amarinder Singh,Cheema,1,10-2020
Cheema,Meet Hayer,1,10-2020
Cheema,Mullanpur,1,10-2020
Cheema,Sadhu Singh Dharamsot,1,10-2020
Cheema,Harpal Singh Cheema,2,"10-2020, 12-2020"
Amarinder,Cheema,1,10-2020
CHANDIGARH,Manjit Singh Bilaspur,1,10-2020
CHANDIGARH,Siswan,1,10-2020
CHANDIGARH,Rupinder Kaur Ruby,1,10-2020
CHANDIGARH,Kulwant Singh Pandori,1,10-2020
AAP,CHANDIGARH,7,"10-2020, 11-2020, 12-2020"
CHANDIGARH,Harchand Singh Barsat,1,10-2020
CHANDIGARH,Sarvjeet Kaur Manuke,1,10-2020
Aam Aadmi Party,CHANDIGARH,5,"10-2020, 11-2020, 12-2020"
CHANDIGARH,Kultar Singh Sandhwan,1,10-2020
CHANDIGARH,Captain Amarinder Singh,2,10-2020
CHANDIGARH,Meet Hayer,1,10-2020
CHANDIGARH,Sadhu Singh Dharamsot,1,10-2020
CHANDIGARH,Harpal Singh Cheema,1,10-2020
Manjit Singh Bilaspur,Siswan,1,10-2020
Manjit Singh Bilaspur,Rupinder Kaur Ruby,1,10-2020
Kulwant Singh Pandori,Manjit Singh Bilaspur,1,10-2020
AAP,Manjit Singh Bilaspur,1,10-2020
Harchand Singh Barsat,Manjit Singh Bilaspur,1,10-2020
Manjit Singh Bilaspur,Punjab,1,10-2020
Manjit Singh Bilaspur,Sarvjeet Kaur Manuke,1,10-2020
Aam Aadmi Party,Manjit Singh Bilaspur,1,10-2020
Kultar Singh Sandhwan,Manjit Singh Bilaspur,1,10-2020
Captain Amarinder Singh,Manjit Singh Bilaspur,1,10-2020
Manjit Singh Bilaspur,Meet Hayer,1,10-2020
Manjit Singh Bilaspur,Mullanpur,1,10-2020
Manjit Singh Bilaspur,Sadhu Singh Dharamsot,1,10-2020
Harpal Singh Cheema,Manjit Singh Bilaspur,1,10-2020
Amarinder,Manjit Singh Bilaspur,1,10-2020
Rupinder Kaur Ruby,Siswan,1,10-2020
Kulwant Singh Pandori,Siswan,1,10-2020
AAP,Siswan,1,10-2020
Harchand Singh Barsat,Siswan,1,10-2020
Punjab,Siswan,1,10-2020
Sarvjeet Kaur Manuke,Siswan,1,10-2020
Aam Aadmi Party,Siswan,1,10-2020
Kultar Singh Sandhwan,Siswan,1,10-2020
Captain Amarinder Singh,Siswan,1,10-2020
Meet Hayer,Siswan,1,10-2020
Mullanpur,Siswan,1,10-2020
Sadhu Singh Dharamsot,Siswan,1,10-2020
Harpal Singh Cheema,Siswan,1,10-2020
Amarinder,Siswan,1,10-2020
Kulwant Singh Pandori,Rupinder Kaur Ruby,1,10-2020
AAP,Rupinder Kaur Ruby,1,10-2020
Harchand Singh Barsat,Rupinder Kaur Ruby,1,10-2020
Punjab,Rupinder Kaur Ruby,1,10-2020
Rupinder Kaur Ruby,Sarvjeet Kaur Manuke,1,10-2020
Aam Aadmi Party,Rupinder Kaur Ruby,1,10-2020
Kultar Singh Sandhwan,Rupinder Kaur Ruby,1,10-2020
Captain Amarinder Singh,Rupinder Kaur Ruby,1,10-2020
Meet Hayer,Rupinder Kaur Ruby,1,10-2020
Mullanpur,Rupinder Kaur Ruby,1,10-2020
Rupinder Kaur Ruby,Sadhu Singh Dharamsot,1,10-2020
Harpal Singh Cheema,Rupinder Kaur Ruby,1,10-2020
Amarinder,Rupinder Kaur Ruby,1,10-2020
AAP,Kulwant Singh Pandori,1,10-2020
Harchand Singh Barsat,Kulwant Singh Pandori,1,10-2020
Kulwant Singh Pandori,Punjab,1,10-2020
Kulwant Singh Pandori,Sarvjeet Kaur Manuke,1,10-2020
Aam Aadmi Party,Kulwant Singh Pandori,1,10-2020
Kultar Singh Sandhwan,Kulwant Singh Pandori,1,10-2020
Captain Amarinder Singh,Kulwant Singh Pandori,1,10-2020
Kulwant Singh Pandori,Meet Hayer,1,10-2020
Kulwant Singh Pandori,Mullanpur,1,10-2020
Kulwant Singh Pandori,Sadhu Singh Dharamsot,1,10-2020
Harpal Singh Cheema,Kulwant Singh Pandori,1,10-2020
Amarinder,Kulwant Singh Pandori,1,10-2020
AAP,Harchand Singh Barsat,1,10-2020
AAP,Sarvjeet Kaur Manuke,1,10-2020
AAP,Kultar Singh Sandhwan,1,10-2020
AAP,Captain Amarinder Singh,2,"01-2021, 10-2020"
AAP,Meet Hayer,1,10-2020
AAP,Mullanpur,1,10-2020
AAP,Sadhu Singh Dharamsot,1,10-2020
AAP,Harpal Singh Cheema,1,10-2020
AAP,Amarinder,5,"01-2021, 10-2020, 12-2020"
Harchand Singh Barsat,Punjab,1,10-2020
Harchand Singh Barsat,Sarvjeet Kaur Manuke,1,10-2020
Aam Aadmi Party,Harchand Singh Barsat,1,10-2020
Harchand Singh Barsat,Kultar Singh Sandhwan,1,10-2020
Captain Amarinder Singh,Harchand Singh Barsat,1,10-2020
Harchand Singh Barsat,Meet Hayer,1,10-2020
Harchand Singh Barsat,Mullanpur,1,10-2020
Harchand Singh Barsat,Sadhu Singh Dharamsot,1,10-2020
Harchand Singh Barsat,Harpal Singh Cheema,1,10-2020
Amarinder,Harchand Singh Barsat,1,10-2020
Punjab,Sarvjeet Kaur Manuke,1,10-2020
Kultar Singh Sandhwan,Punjab,1,10-2020
Meet Hayer,Punjab,1,10-2020
Punjab,Sadhu Singh Dharamsot,1,10-2020
Harpal Singh Cheema,Punjab,2,"10-2020, 12-2020"
Aam Aadmi Party,Sarvjeet Kaur Manuke,1,10-2020
Kultar Singh Sandhwan,Sarvjeet Kaur Manuke,1,10-2020
Captain Amarinder Singh,Sarvjeet Kaur Manuke,1,10-2020
Meet Hayer,Sarvjeet Kaur Manuke,1,10-2020
Mullanpur,Sarvjeet Kaur Manuke,1,10-2020
Sadhu Singh Dharamsot,Sarvjeet Kaur Manuke,1,10-2020
Harpal Singh Cheema,Sarvjeet Kaur Manuke,1,10-2020
Amarinder,Sarvjeet Kaur Manuke,1,10-2020
Aam Aadmi Party,Kultar Singh Sandhwan,1,10-2020
Aam Aadmi Party,Captain Amarinder Singh,1,10-2020
Aam Aadmi Party,Meet Hayer,1,10-2020
Aam Aadmi Party,Mullanpur,1,10-2020
Aam Aadmi Party,Sadhu Singh Dharamsot,1,10-2020
Aam Aadmi Party,Harpal Singh Cheema,1,10-2020
Aam Aadmi Party,Amarinder,3,"01-2021, 10-2020, 12-2020"
Captain Amarinder Singh,Kultar Singh Sandhwan,1,10-2020
Kultar Singh Sandhwan,Meet Hayer,1,10-2020
Kultar Singh Sandhwan,Mullanpur,1,10-2020
Kultar Singh Sandhwan,Sadhu Singh Dharamsot,1,10-2020
Harpal Singh Cheema,Kultar Singh Sandhwan,1,10-2020
Amarinder,Kultar Singh Sandhwan,1,10-2020
Captain Amarinder Singh,Meet Hayer,1,10-2020
Captain Amarinder Singh,Mullanpur,1,10-2020
Captain Amarinder Singh,Sadhu Singh Dharamsot,1,10-2020
Captain Amarinder Singh,Harpal Singh Cheema,1,10-2020
Amarinder,Captain Amarinder Singh,1,10-2020
Meet Hayer,Mullanpur,1,10-2020
Meet Hayer,Sadhu Singh Dharamsot,1,10-2020
Harpal Singh Cheema,Meet Hayer,1,10-2020
Amarinder,Meet Hayer,1,10-2020
Mullanpur,Sadhu Singh Dharamsot,1,10-2020
Harpal Singh Cheema,Mullanpur,1,10-2020
Amarinder,Mullanpur,1,10-2020
Harpal Singh Cheema,Sadhu Singh Dharamsot,1,10-2020
Amarinder,Sadhu Singh Dharamsot,1,10-2020
Amarinder,Harpal Singh Cheema,1,10-2020
Bhanupratap Singh,Palia,1,10-2020
Gulra Bhagwant Nagar,Palia,1,10-2020
Palia,Saligram,1,10-2020
Palia,Sahni,1,10-2020
Kheri,Palia,3,"01-2021, 10-2020, 12-2020"
Palia,Romi Sahni,1,10-2020
Khemkaran,Palia,1,10-2020
Bhanupratap Singh,Gulra Bhagwant Nagar,1,10-2020
Bhanupratap Singh,Saligram,1,10-2020
Bhanupratap Singh,Sahni,1,10-2020
Bhanupratap Singh,Kheri,1,10-2020
Bhanupratap Singh,Romi Sahni,1,10-2020
Bhanupratap Singh,Khemkaran,1,10-2020
Gulra Bhagwant Nagar,Saligram,1,10-2020
Gulra Bhagwant Nagar,Sahni,1,10-2020
Gulra Bhagwant Nagar,Kheri,1,10-2020
Gulra Bhagwant Nagar,Romi Sahni,1,10-2020
Gulra Bhagwant Nagar,Khemkaran,1,10-2020
Sahni,Saligram,1,10-2020
Kheri,Saligram,1,10-2020
Romi Sahni,Saligram,1,10-2020
Khemkaran,Saligram,1,10-2020
Kheri,Sahni,1,10-2020
Romi Sahni,Sahni,1,10-2020
Khemkaran,Sahni,1,10-2020
Kheri,Romi Sahni,1,10-2020
Khemkaran,Kheri,1,10-2020
Khemkaran,Romi Sahni,1,10-2020
Ellenabad,Rashtriya Lok Dal ’s,1,10-2020
Haryana,Rashtriya Lok Dal ’s,1,10-2020
Chaudh,Rashtriya Lok Dal ’s,1,10-2020
CHANDIGARH,Rashtriya Lok Dal ’s,1,10-2020
Deepender,Rashtriya Lok Dal ’s,1,10-2020
RLD,Rashtriya Lok Dal ’s,1,10-2020
Hatharas,Rashtriya Lok Dal ’s,1,10-2020
INLD,Rashtriya Lok Dal ’s,1,10-2020
Jayant,Rashtriya Lok Dal ’s,1,10-2020
Muzaffarnagar,Rashtriya Lok Dal ’s,1,10-2020
Ajit Singh’s,Rashtriya Lok Dal ’s,1,10-2020
Rashtriya Lok Dal ’s,UP,1,10-2020
Abhay,Rashtriya Lok Dal ’s,1,10-2020
Deepender Singh Hooda,Rashtriya Lok Dal ’s,1,10-2020
Jayant Chaudhary,Rashtriya Lok Dal ’s,1,10-2020
Rajya Sabha,Rashtriya Lok Dal ’s,1,10-2020
BJP,Rashtriya Lok Dal ’s,1,10-2020
Congress,Rashtriya Lok Dal ’s,1,10-2020
Hathras,Rashtriya Lok Dal ’s,1,10-2020
Abhay Singh Chautala,Rashtriya Lok Dal ’s,1,10-2020
Ellenabad,Haryana,2,"10-2020, 12-2020"
Chaudh,Ellenabad,1,10-2020
CHANDIGARH,Ellenabad,1,10-2020
Deepender,Ellenabad,1,10-2020
Ellenabad,RLD,1,10-2020
Ellenabad,Hatharas,1,10-2020
Ellenabad,INLD,2,"10-2020, 12-2020"
Ellenabad,Jayant,1,10-2020
Ellenabad,Muzaffarnagar,1,10-2020
Ajit Singh’s,Ellenabad,1,10-2020
Ellenabad,UP,1,10-2020
Abhay,Ellenabad,2,"10-2020, 12-2020"
Deepender Singh Hooda,Ellenabad,1,10-2020
Ellenabad,Jayant Chaudhary,1,10-2020
Ellenabad,Rajya Sabha,1,10-2020
BJP,Ellenabad,2,"10-2020, 12-2020"
Congress,Ellenabad,1,10-2020
Ellenabad,Hathras,1,10-2020
Abhay Singh Chautala,Ellenabad,2,"10-2020, 12-2020"
Chaudh,Haryana,1,10-2020
Deepender,Haryana,1,10-2020
Haryana,RLD,4,"01-2021, 10-2020, 12-2020"
Haryana,Hatharas,1,10-2020
Haryana,INLD,6,"01-2021, 10-2020, 11-2020, 12-2020"
Haryana,Jayant,1,10-2020
Ajit Singh’s,Haryana,1,10-2020
Abhay,Haryana,2,"10-2020, 12-2020"
Deepender Singh Hooda,Haryana,1,10-2020
Haryana,Jayant Chaudhary,3,"01-2021, 10-2020, 12-2020"
Haryana,Rajya Sabha,2,10-2020
Haryana,Hathras,1,10-2020
Abhay Singh Chautala,Haryana,3,"10-2020, 11-2020, 12-2020"
CHANDIGARH,Chaudh,1,10-2020
Chaudh,Deepender,1,10-2020
Chaudh,RLD,1,10-2020
Chaudh,Hatharas,1,10-2020
Chaudh,INLD,1,10-2020
Chaudh,Jayant,1,10-2020
Chaudh,Muzaffarnagar,1,10-2020
Ajit Singh’s,Chaudh,1,10-2020
Chaudh,UP,1,10-2020
Abhay,Chaudh,1,10-2020
Chaudh,Deepender Singh Hooda,1,10-2020
Chaudh,Jayant Chaudhary,1,10-2020
Chaudh,Rajya Sabha,1,10-2020
BJP,Chaudh,1,10-2020
Chaudh,Congress,1,10-2020
Chaudh,Hathras,1,10-2020
Abhay Singh Chautala,Chaudh,1,10-2020
CHANDIGARH,Deepender,1,10-2020
CHANDIGARH,RLD,1,10-2020
CHANDIGARH,Hatharas,1,10-2020
CHANDIGARH,INLD,3,"10-2020, 11-2020"
CHANDIGARH,Jayant,1,10-2020
CHANDIGARH,Muzaffarnagar,1,10-2020
Ajit Singh’s,CHANDIGARH,1,10-2020
CHANDIGARH,UP,2,"10-2020, 12-2020"
Abhay,CHANDIGARH,1,10-2020
CHANDIGARH,Deepender Singh Hooda,1,10-2020
CHANDIGARH,Jayant Chaudhary,1,10-2020
CHANDIGARH,Rajya Sabha,2,10-2020
CHANDIGARH,Hathras,1,10-2020
Abhay Singh Chautala,CHANDIGARH,2,"10-2020, 11-2020"
Deepender,RLD,1,10-2020
Deepender,Hatharas,1,10-2020
Deepender,INLD,1,10-2020
Deepender,Jayant,1,10-2020
Deepender,Muzaffarnagar,1,10-2020
Ajit Singh’s,Deepender,1,10-2020
Deepender,UP,1,10-2020
Abhay,Deepender,1,10-2020
Deepender,Deepender Singh Hooda,2,"01-2021, 10-2020"
Deepender,Jayant Chaudhary,1,10-2020
Deepender,Rajya Sabha,2,"01-2021, 10-2020"
BJP,Deepender,1,10-2020
Congress,Deepender,2,"01-2021, 10-2020"
Deepender,Hathras,1,10-2020
Abhay Singh Chautala,Deepender,1,10-2020
Hatharas,RLD,1,10-2020
Jayant,RLD,1,10-2020
Ajit Singh’s,RLD,1,10-2020
Abhay,RLD,1,10-2020
Deepender Singh Hooda,RLD,1,10-2020
RLD,Rajya Sabha,1,10-2020
BJP,RLD,1,10-2020
Congress,RLD,1,10-2020
Hathras,RLD,1,10-2020
Abhay Singh Chautala,RLD,1,10-2020
Hatharas,INLD,1,10-2020
Hatharas,Jayant,1,10-2020
Hatharas,Muzaffarnagar,1,10-2020
Ajit Singh’s,Hatharas,1,10-2020
Hatharas,UP,1,10-2020
Abhay,Hatharas,1,10-2020
Deepender Singh Hooda,Hatharas,1,10-2020
Hatharas,Jayant Chaudhary,1,10-2020
Hatharas,Rajya Sabha,1,10-2020
BJP,Hatharas,1,10-2020
Congress,Hatharas,1,10-2020
Hatharas,Hathras,1,10-2020
Abhay Singh Chautala,Hatharas,1,10-2020
INLD,Jayant,1,10-2020
Ajit Singh’s,INLD,1,10-2020
Abhay,INLD,2,"10-2020, 12-2020"
Deepender Singh Hooda,INLD,1,10-2020
INLD,Rajya Sabha,1,10-2020
BJP,INLD,3,"10-2020, 12-2020"
Congress,INLD,2,"10-2020, 11-2020"
Hathras,INLD,1,10-2020
Abhay Singh Chautala,INLD,3,"10-2020, 11-2020, 12-2020"
Jayant,Muzaffarnagar,1,10-2020
Ajit Singh’s,Jayant,1,10-2020
Jayant,UP,1,10-2020
Abhay,Jayant,1,10-2020
Deepender Singh Hooda,Jayant,1,10-2020
Jayant,Jayant Chaudhary,1,10-2020
Jayant,Rajya Sabha,1,10-2020
BJP,Jayant,1,10-2020
Congress,Jayant,1,10-2020
Hathras,Jayant,1,10-2020
Abhay Singh Chautala,Jayant,1,10-2020
Ajit Singh’s,Muzaffarnagar,1,10-2020
Abhay,Muzaffarnagar,1,10-2020
Deepender Singh Hooda,Muzaffarnagar,1,10-2020
Muzaffarnagar,Rajya Sabha,1,10-2020
BJP,Muzaffarnagar,3,"01-2021, 10-2020"
Congress,Muzaffarnagar,3,"10-2020, 12-2020"
Hathras,Muzaffarnagar,1,10-2020
Abhay Singh Chautala,Muzaffarnagar,1,10-2020
Ajit Singh’s,UP,1,10-2020
Abhay,Ajit Singh’s,1,10-2020
Ajit Singh’s,Deepender Singh Hooda,1,10-2020
Ajit Singh’s,Jayant Chaudhary,1,10-2020
Ajit Singh’s,Rajya Sabha,1,10-2020
Ajit Singh’s,BJP,1,10-2020
Ajit Singh’s,Congress,1,10-2020
Ajit Singh’s,Hathras,1,10-2020
Abhay Singh Chautala,Ajit Singh’s,1,10-2020
Abhay,UP,1,10-2020
Deepender Singh Hooda,UP,1,10-2020
Rajya Sabha,UP,1,10-2020
Hathras,UP,1,10-2020
Abhay Singh Chautala,UP,1,10-2020
Abhay,Deepender Singh Hooda,1,10-2020
Abhay,Jayant Chaudhary,1,10-2020
Abhay,Rajya Sabha,1,10-2020
Abhay,BJP,2,"10-2020, 12-2020"
Abhay,Congress,1,10-2020
Abhay,Hathras,1,10-2020
Abhay,Abhay Singh Chautala,2,"10-2020, 12-2020"
Deepender Singh Hooda,Jayant Chaudhary,1,10-2020
Deepender Singh Hooda,Rajya Sabha,2,"01-2021, 10-2020"
BJP,Deepender Singh Hooda,1,10-2020
Congress,Deepender Singh Hooda,2,"01-2021, 10-2020"
Deepender Singh Hooda,Hathras,1,10-2020
Abhay Singh Chautala,Deepender Singh Hooda,1,10-2020
Jayant Chaudhary,Rajya Sabha,1,10-2020
BJP,Jayant Chaudhary,1,10-2020
Congress,Jayant Chaudhary,1,10-2020
Hathras,Jayant Chaudhary,1,10-2020
Abhay Singh Chautala,Jayant Chaudhary,1,10-2020
Hathras,Rajya Sabha,1,10-2020
Abhay Singh Chautala,Rajya Sabha,1,10-2020
BJP,Hathras,1,10-2020
Abhay Singh Chautala,BJP,2,"10-2020, 12-2020"
Congress,Hathras,2,"10-2020, 11-2020"
Abhay Singh Chautala,Congress,2,"10-2020, 11-2020"
Abhay Singh Chautala,Hathras,1,10-2020
Rudrapur,the Terai Kisan Mahasabha,3,"10-2020, 12-2020"
Rudrapur,Sitarganj,8,"01-2021, 10-2020, 12-2020"
Bhartiya Kisan Union,Rudrapur,1,10-2020
", Gursahab Singh",Rudrapur,1,10-2020
PILIBHIT,Pachpeda Prahladpur,1,10-2020
PILIBHIT,Tilsada,1,10-2020
Om Prakash,PILIBHIT,1,10-2020
PILIBHIT,Ramesh Kumar,1,10-2020
PILIBHIT,Shri Niwas,1,10-2020
Anmol,PILIBHIT,1,10-2020
Birja Ram,PILIBHIT,1,10-2020
PILIBHIT,Puranpur,3,"10-2020, 11-2020, 12-2020"
PILIBHIT,Seramau,1,10-2020
Bilsanda,PILIBHIT,1,10-2020
PILIBHIT,Ramesh,1,10-2020
Amreek Singh,PILIBHIT,1,10-2020
PILIBHIT,Vijay Kumar Trivedi,1,10-2020
PILIBHIT,Pajawa village,1,10-2020
Pachpeda Prahladpur,Tilsada,1,10-2020
Om Prakash,Pachpeda Prahladpur,1,10-2020
Pachpeda Prahladpur,Ramesh Kumar,1,10-2020
Pachpeda Prahladpur,Shri Niwas,1,10-2020
Anmol,Pachpeda Prahladpur,1,10-2020
Birja Ram,Pachpeda Prahladpur,1,10-2020
Pachpeda Prahladpur,Puranpur,1,10-2020
Pachpeda Prahladpur,Seramau,1,10-2020
Bilsanda,Pachpeda Prahladpur,1,10-2020
Pachpeda Prahladpur,Ramesh,1,10-2020
Amreek Singh,Pachpeda Prahladpur,1,10-2020
Pachpeda Prahladpur,Vijay Kumar Trivedi,1,10-2020
Pachpeda Prahladpur,Pajawa village,1,10-2020
Om Prakash,Tilsada,1,10-2020
Ramesh Kumar,Tilsada,1,10-2020
Shri Niwas,Tilsada,1,10-2020
Anmol,Tilsada,1,10-2020
Birja Ram,Tilsada,1,10-2020
Puranpur,Tilsada,1,10-2020
Seramau,Tilsada,1,10-2020
Bilsanda,Tilsada,1,10-2020
Ramesh,Tilsada,1,10-2020
Amreek Singh,Tilsada,1,10-2020
Tilsada,Vijay Kumar Trivedi,1,10-2020
Pajawa village,Tilsada,1,10-2020
Om Prakash,Ramesh Kumar,1,10-2020
Om Prakash,Shri Niwas,1,10-2020
Anmol,Om Prakash,1,10-2020
Birja Ram,Om Prakash,1,10-2020
Om Prakash,Puranpur,1,10-2020
Om Prakash,Seramau,1,10-2020
Bilsanda,Om Prakash,1,10-2020
Om Prakash,Ramesh,1,10-2020
Amreek Singh,Om Prakash,1,10-2020
Om Prakash,Vijay Kumar Trivedi,1,10-2020
Om Prakash,Pajawa village,1,10-2020
Ramesh Kumar,Shri Niwas,1,10-2020
Anmol,Ramesh Kumar,1,10-2020
Birja Ram,Ramesh Kumar,1,10-2020
Puranpur,Ramesh Kumar,1,10-2020
Ramesh Kumar,Seramau,1,10-2020
Bilsanda,Ramesh Kumar,1,10-2020
Ramesh,Ramesh Kumar,1,10-2020
Amreek Singh,Ramesh Kumar,1,10-2020
Ramesh Kumar,Vijay Kumar Trivedi,1,10-2020
Pajawa village,Ramesh Kumar,1,10-2020
Anmol,Shri Niwas,1,10-2020
Birja Ram,Shri Niwas,1,10-2020
Puranpur,Shri Niwas,1,10-2020
Seramau,Shri Niwas,1,10-2020
Bilsanda,Shri Niwas,1,10-2020
Ramesh,Shri Niwas,1,10-2020
Amreek Singh,Shri Niwas,1,10-2020
Shri Niwas,Vijay Kumar Trivedi,1,10-2020
Pajawa village,Shri Niwas,1,10-2020
Anmol,Birja Ram,1,10-2020
Anmol,Puranpur,1,10-2020
Anmol,Seramau,1,10-2020
Anmol,Bilsanda,1,10-2020
Anmol,Ramesh,1,10-2020
Amreek Singh,Anmol,1,10-2020
Anmol,Vijay Kumar Trivedi,1,10-2020
Anmol,Pajawa village,1,10-2020
Birja Ram,Puranpur,1,10-2020
Birja Ram,Seramau,1,10-2020
Bilsanda,Birja Ram,1,10-2020
Birja Ram,Ramesh,1,10-2020
Amreek Singh,Birja Ram,1,10-2020
Birja Ram,Vijay Kumar Trivedi,1,10-2020
Birja Ram,Pajawa village,1,10-2020
Puranpur,Seramau,1,10-2020
Bilsanda,Puranpur,1,10-2020
Puranpur,Ramesh,1,10-2020
Amreek Singh,Puranpur,1,10-2020
Puranpur,Vijay Kumar Trivedi,1,10-2020
Pajawa village,Puranpur,1,10-2020
Bilsanda,Seramau,1,10-2020
Ramesh,Seramau,1,10-2020
Amreek Singh,Seramau,1,10-2020
Seramau,Vijay Kumar Trivedi,1,10-2020
Pajawa village,Seramau,1,10-2020
Bilsanda,Ramesh,1,10-2020
Amreek Singh,Bilsanda,1,10-2020
Bilsanda,Vijay Kumar Trivedi,1,10-2020
Bilsanda,Pajawa village,1,10-2020
Amreek Singh,Ramesh,1,10-2020
Ramesh,Vijay Kumar Trivedi,1,10-2020
Pajawa village,Ramesh,1,10-2020
Amreek Singh,Vijay Kumar Trivedi,1,10-2020
Amreek Singh,Pajawa village,1,10-2020
Pajawa village,Vijay Kumar Trivedi,1,10-2020
DSP,Palammal,1,10-2020
DSP,Madras,1,10-2020
DSP,Tenkasi,1,10-2020
DSP,G R Swaminathan,1,10-2020
DSP,Madurai,1,10-2020
DSP,Muthu,1,10-2020
DSP,Vaagaikulam,1,10-2020
Anaikkarai Muthu,DSP,1,10-2020
Madras,Palammal,1,10-2020
Palammal,Tenkasi,1,10-2020
G R Swaminathan,Palammal,1,10-2020
Madurai,Palammal,1,10-2020
Muthu,Palammal,1,10-2020
Palammal,Vaagaikulam,1,10-2020
Anaikkarai Muthu,Palammal,1,10-2020
G R Swaminathan,Madras,1,10-2020
Madras,Muthu,1,10-2020
Madras,Vaagaikulam,1,10-2020
Anaikkarai Muthu,Madras,1,10-2020
G R Swaminathan,Tenkasi,1,10-2020
Muthu,Tenkasi,1,10-2020
Tenkasi,Vaagaikulam,1,10-2020
Anaikkarai Muthu,Tenkasi,1,10-2020
G R Swaminathan,Madurai,1,10-2020
G R Swaminathan,Muthu,1,10-2020
G R Swaminathan,Vaagaikulam,1,10-2020
Anaikkarai Muthu,G R Swaminathan,1,10-2020
Madurai,Muthu,1,10-2020
Madurai,Vaagaikulam,1,10-2020
Anaikkarai Muthu,Madurai,1,10-2020
Muthu,Vaagaikulam,1,10-2020
Anaikkarai Muthu,Muthu,1,10-2020
Anaikkarai Muthu,Vaagaikulam,1,10-2020
Assembly,Tamil Nadu Sugarcane Farmers Association,1,10-2020
Parliament,Tamil Nadu Sugarcane Farmers Association,1,10-2020
Kisan,Tamil Nadu Sugarcane Farmers Association,1,10-2020
Madurai,Tamil Nadu Sugarcane Farmers Association,1,10-2020
N Palanichamy,Tamil Nadu Sugarcane Farmers Association,1,10-2020
Assembly,Parliament,1,10-2020
Assembly,Kisan,1,10-2020
Assembly,Madurai,1,10-2020
Assembly,N Palanichamy,1,10-2020
Kisan,Parliament,1,10-2020
N Palanichamy,Parliament,1,10-2020
Kisan,Madurai,1,10-2020
Kisan,N Palanichamy,1,10-2020
Madurai,N Palanichamy,1,10-2020
Akshay Radikar,Aurangabad,1,10-2020
Aurangabad,Kautik Weldode,1,10-2020
Aurangabad,Sillod taluka,1,10-2020
Aurangabad,SS Bhishma,1,10-2020
Aurangabad,the Government Medical College and Hospital,2,"10-2020, 11-2020"
Akshay Radikar,Kautik Weldode,1,10-2020
Akshay Radikar,Sillod taluka,1,10-2020
Akshay Radikar,SS Bhishma,1,10-2020
AURANGABAD,Akshay Radikar,1,10-2020
Akshay Radikar,the Government Medical College and Hospital,1,10-2020
